TradeDate,MMType,Ccy,Start,End,Notional,Index,Rate,Cpty,Company,Desk,Book
20141130,DEPOSIT,EUR,20141130,18M,7109461.81,FIXED,0.0065,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,18M,14178601.76,FIXED,0.0176,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,19M,8884819.03,FIXED,0.0103,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,19M,25450688.99,FIXED,0.0187,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,20M,764425.44,FIXED,0.0317,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,20M,6435999.42,FIXED,0.0279,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,20M,56640565.92,FIXED,0.0159,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,21M,3969894.47,FIXED,0.0283,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,21M,9393284.00,FIXED,0.0056,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,21M,24553188.59,FIXED,0.0150,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,22M,3775098.37,FIXED,0.0135,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,22M,57475355.03,FIXED,0.0106,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,23M,1627570.88,FIXED,0.0273,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,23M,57770351.12,FIXED,0.0093,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,24M,2130507.72,FIXED,0.0158,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,24M,59528196.47,FIXED,0.0115,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,25M,12774144.91,FIXED,0.0186,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,25M,9769620.85,FIXED,0.0232,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,25M,57475355.03,FIXED,0.0114,INTEINT,INGLU,LUDESK,LUMMCB
20141130,LOAN,EUR,20141130,26M,8274912.88,FIXED,0.0253,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,26M,27783151.05,FIXED,0.0199,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,26M,10067978.78,FIXED,0.0254,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,27M,6690140.47,FIXED,0.0144,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,27M,17902575.84,FIXED,0.0410,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,28M,8746018.45,FIXED,0.0197,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,28M,11392588.13,FIXED,0.0247,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,28M,21404428.87,FIXED,0.0290,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,29M,8345020.11,FIXED,0.0129,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,29M,6499108.71,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,29M,43652604.70,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMCB
20141130,LOAN,EUR,20141130,30M,4821207.03,FIXED,0.0129,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,30M,3111966.61,FIXED,0.0197,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,30M,21375324.42,FIXED,0.0204,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,31M,5430582.91,FIXED,0.0168,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,31M,9465328.04,FIXED,0.0221,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,31M,38176033.47,FIXED,0.0221,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,32M,1511274.03,FIXED,0.0162,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,32M,7632073.23,FIXED,0.0193,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,32M,84960848.87,FIXED,0.0193,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,33M,3570611.11,FIXED,0.0184,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,33M,2424425.12,FIXED,0.0184,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,33M,36829782.88,FIXED,0.0184,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,34M,2874197.06,FIXED,0.0164,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,34M,13967702.28,FIXED,0.0094,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,34M,62831685.44,FIXED,0.0164,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,35M,4543125.37,FIXED,0.0175,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,35M,57770351.10,FIXED,0.0115,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,36M,6391523.17,FIXED,0.0191,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,36M,53962428.11,FIXED,0.0191,INTEINT,INGLU,LUDESK,LUMMCB
