TradeDate,MMType,Ccy,Start,End,Notional,Index,Rate,Cpty,Company,Desk,Book
20141031,DEPOSIT,EUR,20141031,8M,7720723.91,FIXED,0.0217,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,8M,50797333.78,FIXED,0.0107,INTEINT,INGLU,LUDESK,LUMMCB
20141031,LOAN,EUR,20141031,9M,9786806.91,FIXED,0.0249,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,9M,39216790.43,FIXED,0.0183,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,10M,1504296.08,FIXED,0.0553,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,10M,1616283.41,FIXED,0.0129,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,10M,57770351.12,FIXED,0.0067,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,11M,4311295.61,FIXED,0.0091,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,11M,2379407.78,FIXED,0.0106,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,11M,19895073.03,FIXED,0.0097,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,12M,4663582.47,FIXED,0.0045,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,12M,4882712.63,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,12M,24149710.29,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,13M,5490078.55,FIXED,0.0197,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,13M,3560525.08,FIXED,0.0117,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,13M,35402035.92,FIXED,0.0135,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,14M,9346806.05,FIXED,0.0096,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,14M,7919247.00,FIXED,0.0161,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,14M,91174340.00,FIXED,0.0170,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,15M,14052639.69,FIXED,0.0121,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,15M,14040536.85,FIXED,0.0158,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,15M,65831100.19,FIXED,0.0107,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,16M,4328880.17,FIXED,0.0347,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,16M,1711495.02,FIXED,0.0347,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,16M,57770351.12,FIXED,0.0077,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,17M,1602042.83,FIXED,-0.0067,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,17M,14108468.33,FIXED,0.0246,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,17M,42285452.69,FIXED,0.0125,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,18M,9720145.55,FIXED,0.0116,INTEINT,INGLU,LUDESK,LUMMRE
20141031,DEPOSIT,EUR,20141031,18M,26191562.82,FIXED,0.0205,INTEINT,INGLU,LUDESK,LUMMCB
20141031,DEPOSIT,EUR,20141031,19M,4532330.98,FIXED,0.0100,INTEINT,INGLU,LUDESK,LUMMPB
20141031,DEPOSIT,EUR,20141031,19M,1555983.30,FIXED,0.0156,INTEINT,INGLU,LUDESK,LUMMRE
